PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
75, 411139646, 2.197709083557129, -3.3910746574401855, 171.2978057861328, 0.5703262090682983, 0.39628303050994873, 9.71723747253418, 2.3423776626586914, 6.172091007232666, -1.2725287675857544, 
76, 411156313, 2.2932233810424805, -3.230043888092041, 171.273193359375, 0.5911625027656555, 0.3978198170661926, 9.793320655822754, 5.654691696166992, 9.694148063659668, -1.502441644668579, 
77, 411172980, 2.4111337661743164, -3.0742313861846924, 171.25433349609375, 0.5783529877662659, 0.31725314259529114, 9.859784126281738, 7.0375590324401855, 9.407849311828613, -0.8379582166671753, 
78, 411189647, 2.4796175956726074, -2.9430196285247803, 171.20355224609375, 0.58476722240448, 0.27056828141212463, 9.982419967651367, 4.045212745666504, 7.9071855545043945, -1.4828858375549316, 
79, 411206314, 2.5241148471832275, -2.849689245223999, 171.15255737304688, 0.5652320981025696, 0.2986200153827667, 10.046894073486328, 2.6100690364837646, 5.627861022949219, -1.656258463859558, 
80, 411222981, 2.550356149673462, -2.7754831314086914, 171.11460876464844, 0.519278347492218, 0.3490273356437683, 9.982898712158203, 1.5471928119659424, 4.498992919921875, -1.2500534057617188, 
81, 411239648, 2.551133871078491, -2.7090113162994385, 171.04000854492188, 0.5041569471359253, 0.41305914521217346, 10.089803695678711, 0.015258767642080784, 4.025785446166992, -1.4978692531585693, 
82, 411256315, 2.5627403259277344, -2.676682710647583, 171.00054931640625, 0.5157496929168701, 0.4428999423980713, 10.104280471801758, 0.7047142386436462, 2.0129599571228027, -0.6273703575134277, 
83, 411272982, 2.577033519744873, -2.660553216934204, 170.95811462402344, 0.47859257459640503, 0.3379146456718445, 9.991682052612305, 0.8672396540641785, 1.0468358993530273, -0.5319117903709412, 
84, 411289649, 2.6098973751068115, -2.6286449432373047, 170.88511657714844, 0.4988287687301636, 0.41381990909576416, 9.827824592590332, 1.9295260906219482, 1.9312803745269775, -1.9049572944641113, 
